,TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
40,1610612742,Dallas,Mavericks,2020-21,72,42,30,0.583,5,0,3,4,15.0,5,N/A,41.1,87.3,0.47,13.8,38.1,0.362,16.5,21.2,0.778,9.1,34.2,43.3,22.9,19.4,6.3,12.1,4.3,112.4,17
50,1610612746,LA,Clippers,2020-21,72,47,25,0.653,4,0,9,7,15.0,5,N/A,41.8,86.7,0.482,14.3,34.7,0.411,16.2,19.3,0.839,9.4,34.7,44.2,24.4,19.2,7.1,13.2,4.1,114.0,10
46,1610612762,Utah,Jazz,2020-21,72,52,20,0.722,1,0,6,5,15.0,5,N/A,41.3,88.1,0.468,16.7,43.0,0.389,17.2,21.5,0.799,10.6,37.6,48.3,23.7,18.5,6.6,14.2,5.2,116.4,4
72,1610612747,Los Angeles,Lakers,2020-21,72,42,30,0.583,7,0,2,4,15.0,5,N/A,40.6,86.1,0.472,11.1,31.2,0.354,17.2,23.3,0.739,9.7,34.6,44.2,24.7,19.1,7.8,15.2,5.4,109.5,22
52,1610612749,Milwaukee,Bucks,2020-21,72,46,26,0.639,3,0,9,4,15.0,5,N/A,44.7,91.8,0.487,14.4,37.1,0.389,16.2,21.4,0.76,10.3,37.8,48.1,25.5,17.3,8.1,13.8,4.6,120.1,1
32,1610612748,Miami,Heat,2020-21,72,40,32,0.556,6,0,0,4,15.0,5,N/A,39.2,83.7,0.468,12.9,36.2,0.358,16.7,21.1,0.79,8.0,33.5,41.5,26.3,18.9,7.9,14.1,4.0,108.1,25
74,1610612738,Boston,Celtics,2020-21,72,36,36,0.5,7,0,1,4,15.0,5,N/A,41.5,88.9,0.466,13.6,36.4,0.374,16.1,20.8,0.775,10.6,33.6,44.3,23.5,20.4,7.7,14.1,5.3,112.6,16
59,1610612764,Washington,Wizards,2020-21,72,34,38,0.472,8,0,1,4,15.0,5,N/A,43.2,90.9,0.475,10.2,29.0,0.351,20.1,26.2,0.769,9.7,35.5,45.2,25.5,21.6,7.3,14.4,4.1,116.6,3
74,1610612752,New York,Knicks,2020-21,72,41,31,0.569,4,0,1,4,15.0,5,N/A,39.4,86.5,0.456,11.8,30.0,0.392,16.4,20.9,0.784,9.7,35.5,45.1,21.4,20.5,7.0,12.9,5.1,107.0,26
44,1610612743,Denver,Nuggets,2020-21,72,47,25,0.653,3,0,4,6,15.0,5,N/A,43.3,89.2,0.485,12.9,34.2,0.377,15.7,19.5,0.803,10.5,33.9,44.4,26.8,19.1,8.1,13.5,4.5,115.1,8
71,1610612737,Atlanta,Hawks,2020-21,72,41,31,0.569,5,0,9,5,15.0,5,N/A,40.8,87.2,0.468,12.4,33.4,0.373,19.7,24.2,0.812,10.6,35.1,45.6,24.1,19.3,7.0,13.2,4.8,113.7,13
50,1610612757,Portland,Trail Blazers,2020-21,72,42,30,0.583,6,0,2,4,15.0,5,N/A,41.3,91.1,0.453,15.7,40.8,0.385,17.8,21.6,0.823,10.6,33.9,44.5,21.3,18.9,6.9,11.1,5.0,116.1,5
44,1610612751,Brooklyn,Nets,2020-21,72,48,24,0.667,2,0,7,5,15.0,5,N/A,43.1,87.3,0.494,14.2,36.1,0.392,18.1,22.5,0.804,8.9,35.5,44.4,26.8,19.0,6.7,13.5,5.3,118.6,2
25,1610612763,Memphis,Grizzlies,2020-21,72,38,34,0.528,8,0,1,4,15.0,5,N/A,42.8,91.8,0.467,11.2,31.4,0.356,16.4,21.3,0.771,11.2,35.3,46.5,26.9,18.7,9.1,13.3,5.1,113.3,15
52,1610612756,Phoenix,Suns,2020-21,72,51,21,0.708,2,0,10,3,15.0,5,N/A,43.3,88.3,0.49,13.1,34.6,0.378,15.6,18.7,0.834,8.8,34.2,42.9,26.9,19.1,7.2,12.5,4.3,115.3,7
71,1610612755,Philadelphia,76ers,2020-21,72,49,23,0.681,1,0,7,5,15.0,5,N/A,41.4,86.9,0.476,11.3,30.1,0.374,19.6,25.5,0.767,10.0,35.0,45.1,23.7,20.2,9.1,14.4,6.2,113.6,14
