Time,Season,VTeam,Hteam,VScore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
2021-05-27,(2020-21),PHO,LAL,95,109,14,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,40.60,86.10,0.47,11.10,31.20,0.35,17.20,23.30,0.74,9.70,34.60,44.20,24.70,7.80,5.40,15.20,19.10,109.50,-280
2021-05-27,(2020-21),DEN,POR,120,115,-5,43.25,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.8,10.53,33.92,44.44,26.85,8.08,4.49,13.5,19.08,115.06,41.30,91.10,0.45,15.70,40.80,0.39,17.80,21.60,0.82,10.60,33.90,44.50,21.30,6.90,5.00,11.10,18.90,116.10,-170
2021-05-28,(2020-21),NYK,ATL,94,105,11,39.43,86.46,0.46,11.76,30.04,0.39,16.4,20.92,0.78,9.67,35.47,45.14,21.4,7.04,5.07,12.94,20.46,107.03,40.80,87.20,0.47,12.40,33.40,0.37,19.70,24.20,0.81,10.60,35.10,45.60,24.10,7.00,4.80,13.20,19.30,113.70,-190
2021-05-28,(2020-21),BRO,BOS,119,125,6,43.14,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.8,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,41.50,88.90,0.47,13.60,36.40,0.37,16.10,20.80,0.78,10.60,33.60,44.30,23.50,7.70,5.30,14.10,20.40,112.60,270
2021-05-28,(2020-21),LAC,DAL,118,108,-10,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.1,13.19,19.21,114.01,41.10,87.30,0.47,13.80,38.10,0.36,16.50,21.20,0.78,9.10,34.20,43.30,22.90,6.30,4.30,12.10,19.40,112.40,135
2021-05-29,(2020-21),MIL,MIA,120,103,-17,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,39.20,83.70,0.47,12.90,36.20,0.36,16.70,21.10,0.79,8.00,33.50,41.50,26.30,7.90,4.00,14.10,18.90,108.10,165
2021-05-29,(2020-21),DEN,POR,95,115,20,43.25,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.8,10.53,33.92,44.44,26.85,8.08,4.49,13.5,19.08,115.06,41.30,91.10,0.45,15.70,40.80,0.39,17.80,21.60,0.82,10.60,33.90,44.50,21.30,6.90,5.00,11.10,18.90,116.10,-200
2021-05-29,(2020-21),PHI,WAS,132,103,-29,41.4,86.9,0.48,11.26,30.13,0.37,19.57,25.5,0.77,10.03,35.03,45.06,23.69,9.1,6.21,14.44,20.22,113.64,43.20,90.90,0.47,10.20,29.00,0.35,20.10,26.20,0.77,9.70,35.50,45.20,25.50,7.30,4.10,14.40,21.60,116.60,190
2021-05-29,(2020-21),UTA,MEM,121,111,-10,41.26,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.8,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,42.80,91.80,0.47,11.20,31.40,0.36,16.40,21.30,0.77,11.20,35.30,46.50,26.90,9.10,5.10,13.30,18.70,113.30,185
2021-05-30,(2020-21),NYK,ATL,96,113,17,39.43,86.46,0.46,11.76,30.04,0.39,16.4,20.92,0.78,9.67,35.47,45.14,21.4,7.04,5.07,12.94,20.46,107.03,40.80,87.20,0.47,12.40,33.40,0.37,19.70,24.20,0.81,10.60,35.10,45.60,24.10,7.00,4.80,13.20,19.30,113.70,-190
2021-05-30,(2020-21),PHO,LAL,100,92,-8,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,40.60,86.10,0.47,11.10,31.20,0.35,17.20,23.30,0.74,9.70,34.60,44.20,24.70,7.80,5.40,15.20,19.10,109.50,-300
2021-05-30,(2020-21),BRO,BOS,141,126,-15,43.14,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.8,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,41.50,88.90,0.47,13.60,36.40,0.37,16.10,20.80,0.78,10.60,33.60,44.30,23.50,7.70,5.30,14.10,20.40,112.60,350
2021-05-30,(2020-21),LAC,DAL,106,81,-25,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.1,13.19,19.21,114.01,41.10,87.30,0.47,13.80,38.10,0.36,16.50,21.20,0.78,9.10,34.20,43.30,22.90,6.30,4.30,12.10,19.40,112.40,140
2021-05-31,(2020-21),PHI,WAS,114,122,8,41.4,86.9,0.48,11.26,30.13,0.37,19.57,25.5,0.77,10.03,35.03,45.06,23.69,9.1,6.21,14.44,20.22,113.64,43.20,90.90,0.47,10.20,29.00,0.35,20.10,26.20,0.77,9.70,35.50,45.20,25.50,7.30,4.10,14.40,21.60,116.60,320
2021-05-31,(2020-21),UTA,MEM,120,113,-7,41.26,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.8,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,42.80,91.80,0.47,11.20,31.40,0.36,16.40,21.30,0.77,11.20,35.30,46.50,26.90,9.10,5.10,13.30,18.70,113.30,200
2021-06-01,(2020-21),BOS,BRO,109,123,14,41.46,88.9,0.47,13.6,36.36,0.37,16.11,20.78,0.78,10.63,33.63,44.25,23.46,7.72,5.32,14.06,20.43,112.63,43.10,87.30,0.49,14.20,36.10,0.39,18.10,22.50,0.80,8.90,35.50,44.40,26.80,6.70,5.30,13.50,19.00,118.60,-1200
2021-06-01,(2020-21),POR,DEN,140,147,7,41.29,91.08,0.45,15.72,40.82,0.39,17.81,21.64,0.82,10.64,33.9,44.54,21.26,6.89,5.04,11.1,18.92,116.11,43.30,89.20,0.48,12.90,34.20,0.38,15.70,19.50,0.80,10.50,33.90,44.40,26.80,8.10,4.50,13.50,19.10,115.10,-135
2021-06-01,(2020-21),LAL,PHO,85,115,30,40.63,86.07,0.47,11.06,31.22,0.35,17.24,23.32,0.74,9.65,34.58,44.24,24.65,7.81,5.36,15.21,19.13,109.54,43.30,88.30,0.49,13.10,34.60,0.38,15.60,18.70,0.83,8.80,34.20,42.90,26.90,7.20,4.30,12.50,19.10,115.30,-200
2021-06-02,(2020-21),WAS,PHI,112,129,17,43.17,90.93,0.47,10.18,29,0.35,20.13,26.17,0.77,9.68,35.51,45.19,25.49,7.33,4.13,14.4,21.6,116.64,41.40,86.90,0.48,11.30,30.10,0.37,19.60,25.50,0.77,10.00,35.00,45.10,23.70,9.10,6.20,14.40,20.20,113.60,-250
2021-06-02,(2020-21),ATL,NYK,103,89,-14,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,39.40,86.50,0.46,11.80,30.00,0.39,16.40,20.90,0.78,9.70,35.50,45.10,21.40,7.00,5.10,12.90,20.50,107.00,-120
2021-06-02,(2020-21),MEM,UTA,110,126,16,42.85,91.78,0.47,11.15,31.36,0.36,16.44,21.33,0.77,11.15,35.32,46.47,26.92,9.1,5.06,13.29,18.74,113.29,41.30,88.10,0.47,16.70,43.00,0.39,17.20,21.50,0.80,10.60,37.60,48.30,23.70,6.60,5.20,14.20,18.50,116.40,-460
2021-06-02,(2020-21),DAL,LAC,105,100,-5,41.08,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,41.80,86.70,0.48,14.30,34.70,0.41,16.20,19.30,0.84,9.40,34.70,44.20,24.40,7.10,4.10,13.20,19.20,114.00,-340
2021-06-03,(2020-21),DEN,POR,126,115,-11,43.25,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.8,10.53,33.92,44.44,26.85,8.08,4.49,13.5,19.08,115.06,41.30,91.10,0.45,15.70,40.80,0.39,17.80,21.60,0.82,10.60,33.90,44.50,21.30,6.90,5.00,11.10,18.90,116.10,-200
2021-06-03,(2020-21),PHO,LAL,113,100,-13,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,40.60,86.10,0.47,11.10,31.20,0.35,17.20,23.30,0.74,9.70,34.60,44.20,24.70,7.80,5.40,15.20,19.10,109.50,-140
2021-06-04,(2020-21),LAC,DAL,104,97,-7,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.1,13.19,19.21,114.01,41.10,87.30,0.47,13.80,38.10,0.36,16.50,21.20,0.78,9.10,34.20,43.30,22.90,6.30,4.30,12.10,19.40,112.40,125
2021-06-05,(2020-21),MIL,BRO,107,115,8,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,43.10,87.30,0.49,14.20,36.10,0.39,18.10,22.50,0.80,8.90,35.50,44.40,26.80,6.70,5.30,13.50,19.00,118.60,-165
2021-06-06,(2020-21),ATL,PHI,128,124,-4,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,41.40,86.90,0.48,11.30,30.10,0.37,19.60,25.50,0.77,10.00,35.00,45.10,23.70,9.10,6.20,14.40,20.20,113.60,-190
2021-06-06,(2020-21),DAL,LAC,111,126,15,41.08,87.32,0.47,13.81,38.11,0.36,16.47,21.17,0.78,9.13,34.21,43.33,22.88,6.25,4.32,12.07,19.39,112.44,41.80,86.70,0.48,14.30,34.70,0.41,16.20,19.30,0.84,9.40,34.70,44.20,24.40,7.10,4.10,13.20,19.20,114.00,-265
2021-06-07,(2020-21),MIL,BRO,86,125,39,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,43.10,87.30,0.49,14.20,36.10,0.39,18.10,22.50,0.80,8.90,35.50,44.40,26.80,6.70,5.30,13.50,19.00,118.60,115
2021-06-07,(2020-21),DEN,PHO,105,122,17,43.25,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.8,10.53,33.92,44.44,26.85,8.08,4.49,13.5,19.08,115.06,43.30,88.30,0.49,13.10,34.60,0.38,15.60,18.70,0.83,8.80,34.20,42.90,26.90,7.20,4.30,12.50,19.10,115.30,-220
2021-06-08,(2020-21),ATL,PHI,102,118,16,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,41.40,86.90,0.48,11.30,30.10,0.37,19.60,25.50,0.77,10.00,35.00,45.10,23.70,9.10,6.20,14.40,20.20,113.60,-280
2021-06-08,(2020-21),LAC,UTA,109,112,3,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.1,13.19,19.21,114.01,41.30,88.10,0.47,16.70,43.00,0.39,17.20,21.50,0.80,10.60,37.60,48.30,23.70,6.60,5.20,14.20,18.50,116.40,-150
2021-06-09,(2020-21),DEN,PHO,98,123,25,43.25,89.19,0.48,12.88,34.19,0.38,15.68,19.53,0.8,10.53,33.92,44.44,26.85,8.08,4.49,13.5,19.08,115.06,43.30,88.30,0.49,13.10,34.60,0.38,15.60,18.70,0.83,8.80,34.20,42.90,26.90,7.20,4.30,12.50,19.10,115.30,-210
2021-06-10,(2020-21),BRO,MIL,83,86,3,43.14,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.8,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,44.70,91.80,0.49,14.40,37.10,0.39,16.20,21.40,0.76,10.30,37.80,48.10,25.50,8.10,4.60,13.80,17.30,120.10,-160
2021-06-10,(2020-21),LAC,UTA,111,117,6,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.1,13.19,19.21,114.01,41.30,88.10,0.47,16.70,43.00,0.39,17.20,21.50,0.80,10.60,37.60,48.30,23.70,6.60,5.20,14.20,18.50,116.40,-140
2021-06-11,(2020-21),PHI,ATL,127,111,-16,41.4,86.9,0.48,11.26,30.13,0.37,19.57,25.5,0.77,10.03,35.03,45.06,23.69,9.1,6.21,14.44,20.22,113.64,40.80,87.20,0.47,12.40,33.40,0.37,19.70,24.20,0.81,10.60,35.10,45.60,24.10,7.00,4.80,13.20,19.30,113.70,110
2021-06-11,(2020-21),PHO,DEN,116,102,-14,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,43.30,89.20,0.48,12.90,34.20,0.38,15.70,19.50,0.80,10.50,33.90,44.40,26.80,8.10,4.50,13.50,19.10,115.10,-130
2021-06-12,(2020-21),UTA,LAC,106,132,26,41.26,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.8,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,41.80,86.70,0.48,14.30,34.70,0.41,16.20,19.30,0.84,9.40,34.70,44.20,24.40,7.10,4.10,13.20,19.20,114.00,-200
2021-06-13,(2020-21),BRO,MIL,96,107,11,43.14,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.8,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,44.70,91.80,0.49,14.40,37.10,0.39,16.20,21.40,0.76,10.30,37.80,48.10,25.50,8.10,4.60,13.80,17.30,120.10,115
2021-06-13,(2020-21),PHO,DEN,125,118,-7,43.31,88.29,0.49,13.06,34.58,0.38,15.61,18.71,0.83,8.75,34.19,42.94,26.93,7.18,4.33,12.53,19.08,115.28,43.30,89.20,0.48,12.90,34.20,0.38,15.70,19.50,0.80,10.50,33.90,44.40,26.80,8.10,4.50,13.50,19.10,115.10,135
2021-06-14,(2020-21),PHI,ATL,100,103,3,41.4,86.9,0.48,11.26,30.13,0.37,19.57,25.5,0.77,10.03,35.03,45.06,23.69,9.1,6.21,14.44,20.22,113.64,40.80,87.20,0.47,12.40,33.40,0.37,19.70,24.20,0.81,10.60,35.10,45.60,24.10,7.00,4.80,13.20,19.30,113.70,130
2021-06-14,(2020-21),UTA,LAC,104,118,14,41.26,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.8,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,41.80,86.70,0.48,14.30,34.70,0.41,16.20,19.30,0.84,9.40,34.70,44.20,24.40,7.10,4.10,13.20,19.20,114.00,-220
2021-06-15,(2020-21),MIL,BRO,108,114,6,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,43.10,87.30,0.49,14.20,36.10,0.39,18.10,22.50,0.80,8.90,35.50,44.40,26.80,6.70,5.30,13.50,19.00,118.60,100
2021-06-16,(2020-21),ATL,PHI,109,106,-3,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,41.40,86.90,0.48,11.30,30.10,0.37,19.60,25.50,0.77,10.00,35.00,45.10,23.70,9.10,6.20,14.40,20.20,113.60,-300
2021-06-16,(2020-21),LAC,UTA,119,111,-8,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.1,13.19,19.21,114.01,41.30,88.10,0.47,16.70,43.00,0.39,17.20,21.50,0.80,10.60,37.60,48.30,23.70,6.60,5.20,14.20,18.50,116.40,-370
