Type,Date,Season,VTeam,HTeam,Vscore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
Playoffs,2011-05-01,(2010-11),MEM,OCT,114,101,-13,39.02,82.94,0.47,3.77,11.29,0.33,18.12,24.16,0.75,11.83,29.16,40.99,20.62,9.4,5.38,13.96,20.79,99.94,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,-290
Playoffs,2011-05-01,(2010-11),BOS,MIA,90,99,9,36.87,75.84,0.49,4.98,13.65,0.36,17.79,23.11,0.77,7.79,31,38.79,23.43,8.24,4.2,14.57,20.46,96.5,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,-210
Playoffs,2011-05-02,(2010-11),ATL,CHI,103,95,-8,36.23,78.4,0.46,6.12,17.4,0.35,16.41,21.07,0.78,9.29,30,39.29,21.98,6.06,4.16,13.63,18.95,95,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,-550
Playoffs,2011-05-02,(2010-11),DAL,LAL,96,94,-2,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,38.15,82.4,0.46,6.39,18.13,0.35,18.79,24.13,0.78,12.06,31.9,43.96,21.96,7.34,5.15,13.09,18.96,101.48,-280
Playoffs,2011-05-03,(2010-11),BOS,MIA,91,102,11,36.87,75.84,0.49,4.98,13.65,0.36,17.79,23.11,0.77,7.79,31,38.79,23.43,8.24,4.2,14.57,20.46,96.5,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,-220
Playoffs,2011-05-03,(2010-11),MEM,OCT,102,111,9,39.02,82.94,0.47,3.77,11.29,0.33,18.12,24.16,0.75,11.83,29.16,40.99,20.62,9.4,5.38,13.96,20.79,99.94,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,-320
Playoffs,2011-05-04,(2010-11),ATL,CHI,73,86,13,36.23,78.4,0.46,6.12,17.4,0.35,16.41,21.07,0.78,9.29,30,39.29,21.98,6.06,4.16,13.63,18.95,95,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,-490
Playoffs,2011-05-04,(2010-11),DAL,LAL,93,81,-12,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,38.15,82.4,0.46,6.39,18.13,0.35,18.79,24.13,0.78,12.06,31.9,43.96,21.96,7.34,5.15,13.09,18.96,101.48,-370
Playoffs,2011-05-06,(2010-11),CHI,ATL,99,82,-17,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,36.23,78.4,0.46,6.12,17.4,0.35,16.41,21.07,0.78,9.29,30,39.29,21.98,6.06,4.16,13.63,18.95,95,120
Playoffs,2011-05-06,(2010-11),LAL,DAL,92,98,6,38.15,82.4,0.46,6.39,18.13,0.35,18.79,24.13,0.78,12.06,31.9,43.96,21.96,7.34,5.15,13.09,18.96,101.48,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,-125
Playoffs,2011-05-07,(2010-11),OCT,MEM,93,101,8,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,39.02,82.94,0.47,3.77,11.29,0.33,18.12,24.16,0.75,11.83,29.16,40.99,20.62,9.4,5.38,13.96,20.79,99.94,-145
Playoffs,2011-05-07,(2010-11),MIA,BOS,81,97,16,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,36.87,75.84,0.49,4.98,13.65,0.36,17.79,23.11,0.77,7.79,31,38.79,23.43,8.24,4.2,14.57,20.46,96.5,-155
Playoffs,2011-05-08,(2010-11),LAL,DAL,86,122,36,38.15,82.4,0.46,6.39,18.13,0.35,18.79,24.13,0.78,12.06,31.9,43.96,21.96,7.34,5.15,13.09,18.96,101.48,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,-125
Playoffs,2011-05-08,(2010-11),CHI,ATL,88,100,12,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,36.23,78.4,0.46,6.12,17.4,0.35,16.41,21.07,0.78,9.29,30,39.29,21.98,6.06,4.16,13.63,18.95,95,145
Playoffs,2011-05-09,(2010-11),MIA,BOS,98,90,-8,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,36.87,75.84,0.49,4.98,13.65,0.36,17.79,23.11,0.77,7.79,31,38.79,23.43,8.24,4.2,14.57,20.46,96.5,102
Playoffs,2011-05-09,(2010-11),OCT,MEM,133,123,-10,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,39.02,82.94,0.47,3.77,11.29,0.33,18.12,24.16,0.75,11.83,29.16,40.99,20.62,9.4,5.38,13.96,20.79,99.94,-125
Playoffs,2011-05-10,(2010-11),ATL,CHI,83,95,12,36.23,78.4,0.46,6.12,17.4,0.35,16.41,21.07,0.78,9.29,30,39.29,21.98,6.06,4.16,13.63,18.95,95,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,-460
Playoffs,2011-05-11,(2010-11),BOS,MIA,87,97,10,36.87,75.84,0.49,4.98,13.65,0.36,17.79,23.11,0.77,7.79,31,38.79,23.43,8.24,4.2,14.57,20.46,96.5,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,-360
Playoffs,2011-05-11,(2010-11),MEM,OCT,72,99,27,39.02,82.94,0.47,3.77,11.29,0.33,18.12,24.16,0.75,11.83,29.16,40.99,20.62,9.4,5.38,13.96,20.79,99.94,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,-260
Playoffs,2011-05-12,(2010-11),CHI,ATL,93,73,-20,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,36.23,78.4,0.46,6.12,17.4,0.35,16.41,21.07,0.78,9.29,30,39.29,21.98,6.06,4.16,13.63,18.95,95,145
Playoffs,2011-05-13,(2010-11),OCT,MEM,83,95,12,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,39.02,82.94,0.47,3.77,11.29,0.33,18.12,24.16,0.75,11.83,29.16,40.99,20.62,9.4,5.38,13.96,20.79,99.94,-125
Playoffs,2011-05-15,(2010-11),MEM,OCT,90,105,15,39.02,82.94,0.47,3.77,11.29,0.33,18.12,24.16,0.75,11.83,29.16,40.99,20.62,9.4,5.38,13.96,20.79,99.94,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,-310
Playoffs,2011-05-15,(2010-11),MIA,CHI,82,103,21,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,-125
Playoffs,2011-05-17,(2010-11),OCT,DAL,112,121,9,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,-260
Playoffs,2011-05-18,(2010-11),MIA,CHI,85,75,-10,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,-135
Playoffs,2011-05-19,(2010-11),OCT,DAL,106,100,-6,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,-240
Playoffs,2011-05-21,(2010-11),DAL,OCT,93,87,-6,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,-145
Playoffs,2011-05-22,(2010-11),CHI,MIA,85,96,11,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,-230
Playoffs,2011-05-23,(2010-11),DAL,OCT,112,105,-7,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,-175
Playoffs,2011-05-24,(2010-11),CHI,MIA,93,101,8,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,-210
Playoffs,2011-05-25,(2010-11),OCT,DAL,96,100,4,37.39,80.6,0.46,5.94,17.11,0.35,24.11,29.28,0.82,11.01,31.76,42.77,20.39,7.98,5.94,14.1,22.39,104.83,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,-290
Playoffs,2011-05-26,(2010-11),MIA,CHI,83,80,-3,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,37.1,80.33,0.46,6.23,17.26,0.36,18.2,24.49,0.74,11.79,32.37,44.16,22.28,7.22,5.71,14.16,19.99,98.62,-165
Finals,2011-05-31,(2010-11),DAL,MIA,84,92,8,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,-200
Finals,2011-06-02,(2010-11),DAL,MIA,95,93,-2,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,-200
Finals,2011-06-05,(2010-11),MIA,DAL,88,86,-2,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,-135
Finals,2011-06-07,(2010-11),MIA,DAL,83,86,3,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,-140
Finals,2011-06-09,(2010-11),MIA,DAL,103,112,9,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,-130
Finals,2011-06-12,(2010-11),DAL,MIA,105,95,-10,37.43,78.82,0.47,7.87,21.56,0.36,17.52,22.56,0.78,9.51,31.93,41.44,23.83,6.79,4.29,13.96,19.21,100.24,36.96,76.84,0.48,6.67,18.04,0.37,21.46,27.9,0.77,9.63,32.51,42.15,19.99,6.63,5.24,13.93,20.41,102.06,-240
Playoffs,2012-04-28,(2011-12),PHI,CHI,91,103,12,37.44,83.58,0.45,5.29,14.59,0.36,13.47,18.15,0.74,10.67,32.48,43.15,22.02,7.97,5.15,11.18,17.53,93.64,37.38,82.76,0.45,6.35,16.92,0.38,15.24,21.12,0.72,13.86,32.8,46.67,46.67,6.91,5.88,13.98,17.26,96.35,-600
Playoffs,2012-04-28,(2011-12),NYK,MIA,67,100,33,35.83,80.83,0.44,7.83,23.3,0.34,18.35,24.76,0.74,11.26,30.48,41.74,20.12,9.42,4.18,16,21.08,97.85,37.06,78.97,0.47,5.61,15.61,0.36,18.76,24.21,0.77,10.39,31.21,41.61,41.61,8.86,5.38,15.18,19.42,98.48,-600
Playoffs,2012-04-28,(2011-12),ORL,IND,81,77,-4,34.47,78.21,0.44,10.15,27.05,0.38,15.08,22.85,0.66,11.24,31.21,42.45,20.02,6.83,4.17,14.91,17.7,94.17,35.67,81.44,0.44,5.94,16.12,0.37,20.44,26.12,0.78,12.52,31.36,43.88,43.88,7.92,5.41,14.02,21.67,97.71,-650
Playoffs,2012-04-28,(2011-12),DAL,OCT,98,99,1,36.33,82,0.44,7.53,22.18,0.34,15.59,20.21,0.77,10.08,32.68,42.76,20.91,8.56,5.11,14.03,18.58,95.79,37.3,79.23,0.47,7.15,19.95,0.36,21.3,26.42,0.81,11,32.68,43.68,43.68,7.55,8.17,16.35,20.48,103.06,-430
Playoffs,2012-04-29,(2011-12),UTA,SAS,91,106,15,38.23,83.8,0.46,4.14,12.8,0.32,19.06,25.27,0.75,13.05,31.14,44.18,21.8,8.26,5.83,14.18,21.83,99.65,39.56,82.77,0.48,8.36,21.29,0.39,16.17,21.62,0.75,10.35,32.62,42.97,42.97,7.42,4.44,13.56,17.32,103.65,-950
Playoffs,2012-04-29,(2011-12),DEN,LAL,88,103,15,38.97,81.88,0.48,6.59,19.86,0.33,19.59,26.67,0.73,11.18,31.89,43.08,23.95,8.18,5,15.38,19.65,104.12,36.8,80.59,0.46,5.48,16.85,0.33,18.21,24.08,0.76,12.11,34.11,46.21,46.21,5.91,5.32,15.11,16.8,97.3,-220
Playoffs,2012-04-29,(2011-12),BOS,ATL,74,83,9,35.47,77.06,0.46,5.5,14.97,0.37,15.41,19.82,0.78,7.71,31.08,38.79,23.59,7.55,5.48,14.83,19.92,91.85,36.8,81.03,0.45,7.45,20.15,0.37,15.53,20.98,0.74,9.88,31.3,41.18,41.18,8.12,4.59,13.95,17.85,96.59,-110
Playoffs,2012-04-29,(2011-12),LAC,MEM,99,98,-1,36.95,81.3,0.45,7.79,21.83,0.36,15.85,23.3,0.68,12.12,29.44,41.56,20.98,8.42,4.77,13.32,21.2,97.55,36.74,82.15,0.45,4.2,12.86,0.33,17.3,22.79,0.76,12.59,29.45,42.05,42.05,9.56,5.23,14.47,19.94,94.98,-200
Playoffs,2012-04-30,(2011-12),NYK,MIA,94,104,10,35.83,80.83,0.44,7.83,23.3,0.34,18.35,24.76,0.74,11.26,30.48,41.74,20.12,9.42,4.18,16,21.08,97.85,37.06,78.97,0.47,5.61,15.61,0.36,18.76,24.21,0.77,10.39,31.21,41.61,41.61,8.86,5.38,15.18,19.42,98.48,-700
Playoffs,2012-04-30,(2011-12),ORL,IND,78,93,15,34.47,78.21,0.44,10.15,27.05,0.38,15.08,22.85,0.66,11.24,31.21,42.45,20.02,6.83,4.17,14.91,17.7,94.17,35.67,81.44,0.44,5.94,16.12,0.37,20.44,26.12,0.78,12.52,31.36,43.88,43.88,7.92,5.41,14.02,21.67,97.71,-600
Playoffs,2012-04-30,(2011-12),DAL,OCT,99,102,3,36.33,82,0.44,7.53,22.18,0.34,15.59,20.21,0.77,10.08,32.68,42.76,20.91,8.56,5.11,14.03,18.58,95.79,37.3,79.23,0.47,7.15,19.95,0.36,21.3,26.42,0.81,11,32.68,43.68,43.68,7.55,8.17,16.35,20.48,103.06,-280
Playoffs,2012-05-01,(2011-12),BOS,ATL,87,80,-7,35.47,77.06,0.46,5.5,14.97,0.37,15.41,19.82,0.78,7.71,31.08,38.79,23.59,7.55,5.48,14.83,19.92,91.85,36.8,81.03,0.45,7.45,20.15,0.37,15.53,20.98,0.74,9.88,31.3,41.18,41.18,8.12,4.59,13.95,17.85,96.59,-210
Playoffs,2012-05-01,(2011-12),PHI,CHI,109,92,-17,37.44,83.58,0.45,5.29,14.59,0.36,13.47,18.15,0.74,10.67,32.48,43.15,22.02,7.97,5.15,11.18,17.53,93.64,37.38,82.76,0.45,6.35,16.92,0.38,15.24,21.12,0.72,13.86,32.8,46.67,46.67,6.91,5.88,13.98,17.26,96.35,-290
Playoffs,2012-05-01,(2011-12),DEN,LAL,100,104,4,38.97,81.88,0.48,6.59,19.86,0.33,19.59,26.67,0.73,11.18,31.89,43.08,23.95,8.18,5,15.38,19.65,104.12,36.8,80.59,0.46,5.48,16.85,0.33,18.21,24.08,0.76,12.11,34.11,46.21,46.21,5.91,5.32,15.11,16.8,97.3,-270
Playoffs,2012-05-02,(2011-12),UTA,SAS,83,114,31,38.23,83.8,0.46,4.14,12.8,0.32,19.06,25.27,0.75,13.05,31.14,44.18,21.8,8.26,5.83,14.18,21.83,99.65,39.56,82.77,0.48,8.36,21.29,0.39,16.17,21.62,0.75,10.35,32.62,42.97,42.97,7.42,4.44,13.56,17.32,103.65,-1010
Playoffs,2012-05-02,(2011-12),IND,ORL,97,74,-23,35.67,81.44,0.44,5.94,16.12,0.37,20.44,26.12,0.78,12.52,31.36,43.88,18.61,7.92,5.41,14.02,21.67,97.71,34.47,78.21,0.44,10.15,27.05,0.38,15.08,22.85,0.66,11.24,31.21,42.45,42.45,6.83,4.17,14.91,17.7,94.17,140
Playoffs,2012-05-02,(2011-12),LAC,MEM,98,105,7,36.95,81.3,0.45,7.79,21.83,0.36,15.85,23.3,0.68,12.12,29.44,41.56,20.98,8.42,4.77,13.32,21.2,97.55,36.74,82.15,0.45,4.2,12.86,0.33,17.3,22.79,0.76,12.59,29.45,42.05,42.05,9.56,5.23,14.47,19.94,94.98,-300
Playoffs,2012-05-03,(2011-12),MIA,NYK,87,70,-17,37.06,78.97,0.47,5.61,15.61,0.36,18.76,24.21,0.77,10.39,31.21,41.61,19.95,8.86,5.38,15.18,19.42,98.48,35.83,80.83,0.44,7.83,23.3,0.34,18.35,24.76,0.74,11.26,30.48,41.74,41.74,9.42,4.18,16,21.08,97.85,210
Playoffs,2012-05-03,(2011-12),OCT,DAL,95,79,-16,37.3,79.23,0.47,7.15,19.95,0.36,21.3,26.42,0.81,11,32.68,43.68,18.55,7.55,8.17,16.35,20.48,103.06,36.33,82,0.44,7.53,22.18,0.34,15.59,20.21,0.77,10.08,32.68,42.76,42.76,8.56,5.11,14.03,18.58,95.79,-160
Playoffs,2012-05-04,(2011-12),ATL,BOS,84,90,6,36.8,81.03,0.45,7.45,20.15,0.37,15.53,20.98,0.74,9.88,31.3,41.18,22.44,8.12,4.59,13.95,17.85,96.59,35.47,77.06,0.46,5.5,14.97,0.37,15.41,19.82,0.78,7.71,31.08,38.79,38.79,7.55,5.48,14.83,19.92,91.85,-450
Playoffs,2012-05-04,(2011-12),CHI,PHI,74,79,5,37.38,82.76,0.45,6.35,16.92,0.38,15.24,21.12,0.72,13.86,32.8,46.67,23.14,6.91,5.88,13.98,17.26,96.35,37.44,83.58,0.45,5.29,14.59,0.36,13.47,18.15,0.74,10.67,32.48,43.15,43.15,7.97,5.15,11.18,17.53,93.64,-125
Playoffs,2012-05-04,(2011-12),LAL,DEN,84,99,15,36.8,80.59,0.46,5.48,16.85,0.33,18.21,24.08,0.76,12.11,34.11,46.21,22.5,5.91,5.32,15.11,16.8,97.3,38.97,81.88,0.48,6.59,19.86,0.33,19.59,26.67,0.73,11.18,31.89,43.08,43.08,8.18,5,15.38,19.65,104.12,-165
Playoffs,2012-05-05,(2011-12),IND,ORL,101,99,-2,35.67,81.44,0.44,5.94,16.12,0.37,20.44,26.12,0.78,12.52,31.36,43.88,18.61,7.92,5.41,14.02,21.67,97.71,34.47,78.21,0.44,10.15,27.05,0.38,15.08,22.85,0.66,11.24,31.21,42.45,42.45,6.83,4.17,14.91,17.7,94.17,175
Playoffs,2012-05-05,(2011-12),MEM,LAC,86,87,1,36.74,82.15,0.45,4.2,12.86,0.33,17.3,22.79,0.76,12.59,29.45,42.05,19.55,9.56,5.23,14.47,19.94,94.98,36.95,81.3,0.45,7.79,21.83,0.36,15.85,23.3,0.68,12.12,29.44,41.56,41.56,8.42,4.77,13.32,21.2,97.55,-155
Playoffs,2012-05-05,(2011-12),OCT,DAL,103,97,-6,37.3,79.23,0.47,7.15,19.95,0.36,21.3,26.42,0.81,11,32.68,43.68,18.55,7.55,8.17,16.35,20.48,103.06,36.33,82,0.44,7.53,22.18,0.34,15.59,20.21,0.77,10.08,32.68,42.76,42.76,8.56,5.11,14.03,18.58,95.79,110
Playoffs,2012-05-05,(2011-12),SAS,UTA,102,90,-12,39.56,82.77,0.48,8.36,21.29,0.39,16.17,21.62,0.75,10.35,32.62,42.97,23.15,7.42,4.44,13.56,17.32,103.65,38.23,83.8,0.46,4.14,12.8,0.32,19.06,25.27,0.75,13.05,31.14,44.18,44.18,8.26,5.83,14.18,21.83,99.65,210
Playoffs,2012-05-06,(2011-12),CHI,PHI,82,89,7,37.38,82.76,0.45,6.35,16.92,0.38,15.24,21.12,0.72,13.86,32.8,46.67,23.14,6.91,5.88,13.98,17.26,96.35,37.44,83.58,0.45,5.29,14.59,0.36,13.47,18.15,0.74,10.67,32.48,43.15,43.15,7.97,5.15,11.18,17.53,93.64,-165
Playoffs,2012-05-06,(2011-12),MIA,NYK,87,89,2,37.06,78.97,0.47,5.61,15.61,0.36,18.76,24.21,0.77,10.39,31.21,41.61,19.95,8.86,5.38,15.18,19.42,98.48,35.83,80.83,0.44,7.83,23.3,0.34,18.35,24.76,0.74,11.26,30.48,41.74,41.74,9.42,4.18,16,21.08,97.85,310
Playoffs,2012-05-06,(2011-12),ATL,BOS,79,101,22,36.8,81.03,0.45,7.45,20.15,0.37,15.53,20.98,0.74,9.88,31.3,41.18,22.44,8.12,4.59,13.95,17.85,96.59,35.47,77.06,0.46,5.5,14.97,0.37,15.41,19.82,0.78,7.71,31.08,38.79,38.79,7.55,5.48,14.83,19.92,91.85,-280
Playoffs,2012-05-06,(2011-12),LAL,DEN,92,88,-4,36.8,80.59,0.46,5.48,16.85,0.33,18.21,24.08,0.76,12.11,34.11,46.21,22.5,5.91,5.32,15.11,16.8,97.3,38.97,81.88,0.48,6.59,19.86,0.33,19.59,26.67,0.73,11.18,31.89,43.08,43.08,8.18,5,15.38,19.65,104.12,-130
Playoffs,2012-05-07,(2011-12),SAS,UTA,87,81,-6,39.56,82.77,0.48,8.36,21.29,0.39,16.17,21.62,0.75,10.35,32.62,42.97,23.15,7.42,4.44,13.56,17.32,103.65,38.23,83.8,0.46,4.14,12.8,0.32,19.06,25.27,0.75,13.05,31.14,44.18,44.18,8.26,5.83,14.18,21.83,99.65,305
Playoffs,2012-05-07,(2011-12),MEM,LAC,97,101,4,36.74,82.15,0.45,4.2,12.86,0.33,17.3,22.79,0.76,12.59,29.45,42.05,19.55,9.56,5.23,14.47,19.94,94.98,36.95,81.3,0.45,7.79,21.83,0.36,15.85,23.3,0.68,12.12,29.44,41.56,41.56,8.42,4.77,13.32,21.2,97.55,-125
Playoffs,2012-05-08,(2011-12),ORL,IND,87,105,18,34.47,78.21,0.44,10.15,27.05,0.38,15.08,22.85,0.66,11.24,31.21,42.45,20.02,6.83,4.17,14.91,17.7,94.17,35.67,81.44,0.44,5.94,16.12,0.37,20.44,26.12,0.78,12.52,31.36,43.88,43.88,7.92,5.41,14.02,21.67,97.71,-750
Playoffs,2012-05-08,(2011-12),BOS,ATL,86,87,1,35.47,77.06,0.46,5.5,14.97,0.37,15.41,19.82,0.78,7.71,31.08,38.79,23.59,7.55,5.48,14.83,19.92,91.85,36.8,81.03,0.45,7.45,20.15,0.37,15.53,20.98,0.74,9.88,31.3,41.18,41.18,8.12,4.59,13.95,17.85,96.59,-130
Playoffs,2012-05-08,(2011-12),PHI,CHI,69,77,8,37.44,83.58,0.45,5.29,14.59,0.36,13.47,18.15,0.74,10.67,32.48,43.15,22.02,7.97,5.15,11.18,17.53,93.64,37.38,82.76,0.45,6.35,16.92,0.38,15.24,21.12,0.72,13.86,32.8,46.67,46.67,6.91,5.88,13.98,17.26,96.35,-210
Playoffs,2012-05-08,(2011-12),DEN,LAL,102,99,-3,38.97,81.88,0.48,6.59,19.86,0.33,19.59,26.67,0.73,11.18,31.89,43.08,23.95,8.18,5,15.38,19.65,104.12,36.8,80.59,0.46,5.48,16.85,0.33,18.21,24.08,0.76,12.11,34.11,46.21,46.21,5.91,5.32,15.11,16.8,97.3,-320
Playoffs,2012-05-09,(2011-12),NYK,MIA,94,106,12,35.83,80.83,0.44,7.83,23.3,0.34,18.35,24.76,0.74,11.26,30.48,41.74,20.12,9.42,4.18,16,21.08,97.85,37.06,78.97,0.47,5.61,15.61,0.36,18.76,24.21,0.77,10.39,31.21,41.61,41.61,8.86,5.38,15.18,19.42,98.48,-1650
Playoffs,2012-05-09,(2011-12),LAC,MEM,80,92,12,36.95,81.3,0.45,7.79,21.83,0.36,15.85,23.3,0.68,12.12,29.44,41.56,20.98,8.42,4.77,13.32,21.2,97.55,36.74,82.15,0.45,4.2,12.86,0.33,17.3,22.79,0.76,12.59,29.45,42.05,42.05,9.56,5.23,14.47,19.94,94.98,-300
