Type,Date,Season,VTeam,HTeam,Vscore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
Playoffs,2008-05-03,(2007-08),ORL,DET,72,91,19,37.29,78.61,0.47,9.77,25.29,0.39,20.12,27.9,0.72,9.37,32.65,42.01,20.8,6.34,4.06,14.3,20.59,104.48,36.57,79.89,0.46,5.94,16.22,0.37,18.38,23.96,0.77,11.88,29.55,41.43,22.33,7.11,5.76,11.66,20.59,97.46,-290
Playoffs,2008-05-03,(2007-08),SAS,NOH,82,101,19,35.83,78.34,0.46,7.24,19.63,0.37,16.46,21.63,0.76,9.4,31.85,41.26,20.95,6.35,4.11,12.62,18.74,95.37,38.59,82.88,0.47,7.68,19.77,0.39,16,20.82,0.77,11.43,30.41,41.84,21.77,7.77,3.91,11.88,18.67,100.85,-160
Playoffs,2008-05-04,(2007-08),ATL,BOS,65,99,34,36.28,79.9,0.45,4.68,13.15,0.36,20.98,27.16,0.77,12.29,29.93,42.22,22,7.32,5.46,14.91,20.4,98.22,36.41,76.66,0.48,7.27,19.07,0.38,20.45,26.54,0.77,10.12,31.89,42.01,22.35,8.49,4.62,15.2,22.73,100.55,-2100
Playoffs,2008-05-04,(2007-08),UTA,LAL,98,109,11,39.99,80.39,0.5,4.96,13.35,0.37,21.28,28.02,0.76,11.49,29.39,40.88,26.4,8.74,4.33,14.63,24.02,106.22,39.61,83.15,0.48,8.07,21.35,0.38,21.29,27.68,0.77,10.95,33.2,44.15,24.43,7.98,5.34,14.1,20.62,108.59,-375
Playoffs,2008-05-05,(2007-08),ORL,DET,93,100,7,37.29,78.61,0.47,9.77,25.29,0.39,20.12,27.9,0.72,9.37,32.65,42.01,20.8,6.34,4.06,14.3,20.59,104.48,36.57,79.89,0.46,5.94,16.22,0.37,18.38,23.96,0.77,11.88,29.55,41.43,22.33,7.11,5.76,11.66,20.59,97.46,-260
Playoffs,2008-05-05,(2007-08),SAS,NOH,84,102,18,35.83,78.34,0.46,7.24,19.63,0.37,16.46,21.63,0.76,9.4,31.85,41.26,20.95,6.35,4.11,12.62,18.74,95.37,38.59,82.88,0.47,7.68,19.77,0.39,16,20.82,0.77,11.43,30.41,41.84,21.77,7.77,3.91,11.88,18.67,100.85,-150
Playoffs,2008-05-06,(2007-08),CLE,BOS,72,76,4,35.82,81.67,0.44,6.73,18.83,0.36,18.01,25.13,0.72,13.32,31.26,44.57,20,7.06,5.21,13.96,20.88,96.38,36.41,76.66,0.48,7.27,19.07,0.38,20.45,26.54,0.77,10.12,31.89,42.01,22.35,8.49,4.62,15.2,22.73,100.55,-625
Playoffs,2008-05-07,(2007-08),DET,ORL,86,111,25,36.57,79.89,0.46,5.94,16.22,0.37,18.38,23.96,0.77,11.88,29.55,41.43,22.33,7.11,5.76,11.66,20.59,97.46,37.29,78.61,0.47,9.77,25.29,0.39,20.12,27.9,0.72,9.37,32.65,42.01,20.8,6.34,4.06,14.3,20.59,104.48,-230
Playoffs,2008-05-07,(2007-08),UTA,LAL,110,120,10,39.99,80.39,0.5,4.96,13.35,0.37,21.28,28.02,0.76,11.49,29.39,40.88,26.4,8.74,4.33,14.63,24.02,106.22,39.61,83.15,0.48,8.07,21.35,0.38,21.29,27.68,0.77,10.95,33.2,44.15,24.43,7.98,5.34,14.1,20.62,108.59,-300
Playoffs,2008-05-08,(2007-08),CLE,BOS,73,89,16,35.82,81.67,0.44,6.73,18.83,0.36,18.01,25.13,0.72,13.32,31.26,44.57,20,7.06,5.21,13.96,20.88,96.38,36.41,76.66,0.48,7.27,19.07,0.38,20.45,26.54,0.77,10.12,31.89,42.01,22.35,8.49,4.62,15.2,22.73,100.55,-440
