2008-05-29 00:00:00,San Antonio Spurs,92,Los Angeles Lakers,100
2008-05-30 00:00:00,Boston Celtics,89,Detroit Pistons,81
2008-06-05 00:00:00,Los Angeles Lakers,88,Boston Celtics,98
2008-06-08 00:00:00,Los Angeles Lakers,102,Boston Celtics,108
2008-06-10 00:00:00,Boston Celtics,81,Los Angeles Lakers,87
2008-06-12 00:00:00,Boston Celtics,97,Los Angeles Lakers,91
2008-06-15 00:00:00,Boston Celtics,98,Los Angeles Lakers,103
2008-06-17 00:00:00,Los Angeles Lakers,92,Boston Celtics,131
2009-04-18 00:00:00,Chicago Bulls,105,Boston Celtics,103
2009-04-18 00:00:00,Detroit Pistons,84,Cleveland Cavaliers,102
2009-04-18 00:00:00,Dallas Mavericks,105,San Antonio Spurs,97
2009-04-18 00:00:00,Houston Rockets,108,Portland Trail Blazers,81
2009-04-19 00:00:00,Utah Jazz,100,Los Angeles Lakers,113
2009-04-19 00:00:00,Philadelphia 76ers,100,Orlando Magic,98
2009-04-19 00:00:00,Miami Heat,64,Atlanta Hawks,90
2009-04-19 00:00:00,New Orleans Hornets,84,Denver Nuggets,113
2009-04-20 00:00:00,Chicago Bulls,115,Boston Celtics,118
2009-04-20 00:00:00,Dallas Mavericks,84,San Antonio Spurs,105
2009-04-21 00:00:00,Detroit Pistons,82,Cleveland Cavaliers,94
2009-04-21 00:00:00,Houston Rockets,103,Portland Trail Blazers,107
2009-04-21 00:00:00,Utah Jazz,109,Los Angeles Lakers,119
2009-04-22 00:00:00,Philadelphia 76ers,87,Orlando Magic,96
2009-04-22 00:00:00,Miami Heat,108,Atlanta Hawks,93
2009-04-22 00:00:00,New Orleans Hornets,93,Denver Nuggets,108
2009-04-23 00:00:00,Boston Celtics,107,Chicago Bulls,86
2009-04-23 00:00:00,San Antonio Spurs,67,Dallas Mavericks,88
2009-04-23 00:00:00,Los Angeles Lakers,86,Utah Jazz,88
2009-04-24 00:00:00,Cleveland Cavaliers,79,Detroit Pistons,68
2009-04-24 00:00:00,Orlando Magic,94,Philadelphia 76ers,96
2009-04-24 00:00:00,Portland Trail Blazers,83,Houston Rockets,86
2009-04-25 00:00:00,Denver Nuggets,93,New Orleans Hornets,95
2009-04-25 00:00:00,San Antonio Spurs,90,Dallas Mavericks,99
2009-04-25 00:00:00,Atlanta Hawks,78,Miami Heat,107
2009-04-25 00:00:00,Los Angeles Lakers,108,Utah Jazz,94
2009-04-26 00:00:00,Boston Celtics,118,Chicago Bulls,121
2009-04-26 00:00:00,Cleveland Cavaliers,99,Detroit Pistons,78
2009-04-26 00:00:00,Orlando Magic,84,Philadelphia 76ers,81
2009-04-26 00:00:00,Portland Trail Blazers,88,Houston Rockets,89
2009-04-27 00:00:00,Atlanta Hawks,81,Miami Heat,71
2009-04-27 00:00:00,Denver Nuggets,121,New Orleans Hornets,63
2009-04-27 00:00:00,Utah Jazz,96,Los Angeles Lakers,107
2009-04-28 00:00:00,Chicago Bulls,104,Boston Celtics,106
2009-04-28 00:00:00,Philadelphia 76ers,78,Orlando Magic,91
2009-04-28 00:00:00,Dallas Mavericks,106,San Antonio Spurs,93
2009-04-28 00:00:00,Houston Rockets,77,Portland Trail Blazers,88
2009-04-29 00:00:00,Miami Heat,91,Atlanta Hawks,106
2009-04-29 00:00:00,New Orleans Hornets,86,Denver Nuggets,107
2009-04-30 00:00:00,Boston Celtics,127,Chicago Bulls,128
2009-04-30 00:00:00,Orlando Magic,114,Philadelphia 76ers,89
2009-04-30 00:00:00,Portland Trail Blazers,76,Houston Rockets,92
2009-05-01 00:00:00,Atlanta Hawks,72,Miami Heat,98
2009-05-02 00:00:00,Chicago Bulls,99,Boston Celtics,109
2009-05-03 00:00:00,Miami Heat,78,Atlanta Hawks,91
2009-05-03 00:00:00,Dallas Mavericks,95,Denver Nuggets,109
2009-05-04 00:00:00,Orlando Magic,95,Boston Celtics,90
2009-05-04 00:00:00,Houston Rockets,100,Los Angeles Lakers,92
2009-05-05 00:00:00,Atlanta Hawks,72,Cleveland Cavaliers,99
2009-05-05 00:00:00,Dallas Mavericks,105,Denver Nuggets,117
2009-05-06 00:00:00,Orlando Magic,94,Boston Celtics,112
2009-05-06 00:00:00,Houston Rockets,98,Los Angeles Lakers,111
2009-05-07 00:00:00,Atlanta Hawks,85,Cleveland Cavaliers,105
2009-05-08 00:00:00,Boston Celtics,96,Orlando Magic,117
2009-05-08 00:00:00,Los Angeles Lakers,108,Houston Rockets,94
2009-05-09 00:00:00,Denver Nuggets,106,Dallas Mavericks,105
2009-05-09 00:00:00,Cleveland Cavaliers,97,Atlanta Hawks,82
2009-05-10 00:00:00,Los Angeles Lakers,87,Houston Rockets,99
2009-05-10 00:00:00,Boston Celtics,95,Orlando Magic,94
2009-05-11 00:00:00,Cleveland Cavaliers,84,Atlanta Hawks,74
2009-05-11 00:00:00,Denver Nuggets,117,Dallas Mavericks,119
2009-05-12 00:00:00,Orlando Magic,88,Boston Celtics,92
2009-05-12 00:00:00,Houston Rockets,78,Los Angeles Lakers,118
2009-05-13 00:00:00,Dallas Mavericks,110,Denver Nuggets,124
2009-05-14 00:00:00,Boston Celtics,75,Orlando Magic,83
2009-05-14 00:00:00,Los Angeles Lakers,80,Houston Rockets,95
2009-05-17 00:00:00,Houston Rockets,70,Los Angeles Lakers,89
2009-05-17 00:00:00,Orlando Magic,101,Boston Celtics,82
2009-05-19 00:00:00,Denver Nuggets,103,Los Angeles Lakers,105
2009-05-20 00:00:00,Orlando Magic,107,Cleveland Cavaliers,106
2009-05-21 00:00:00,Denver Nuggets,106,Los Angeles Lakers,103
2009-05-22 00:00:00,Orlando Magic,95,Cleveland Cavaliers,96
2009-05-23 00:00:00,Los Angeles Lakers,103,Denver Nuggets,97
2009-05-24 00:00:00,Cleveland Cavaliers,89,Orlando Magic,99
2009-05-25 00:00:00,Los Angeles Lakers,101,Denver Nuggets,120
2009-05-26 00:00:00,Cleveland Cavaliers,114,Orlando Magic,116
2009-05-27 00:00:00,Denver Nuggets,94,Los Angeles Lakers,103
2009-05-28 00:00:00,Orlando Magic,102,Cleveland Cavaliers,112
2009-05-29 00:00:00,Los Angeles Lakers,119,Denver Nuggets,92
2009-05-30 00:00:00,Cleveland Cavaliers,90,Orlando Magic,103
2009-06-04 00:00:00,Orlando Magic,75,Los Angeles Lakers,100
2009-06-07 00:00:00,Orlando Magic,96,Los Angeles Lakers,101
2009-06-09 00:00:00,Los Angeles Lakers,104,Orlando Magic,108
2009-06-11 00:00:00,Los Angeles Lakers,99,Orlando Magic,91
2009-06-14 00:00:00,Los Angeles Lakers,99,Orlando Magic,86
2010-04-17 00:00:00,Chicago Bulls,83,Cleveland Cavaliers,96
2010-04-17 00:00:00,Milwaukee Bucks,92,Atlanta Hawks,102
2010-04-17 00:00:00,Miami Heat,76,Boston Celtics,85
2010-04-17 00:00:00,Utah Jazz,113,Denver Nuggets,126
2010-04-18 00:00:00,Oklahoma City Thunder,79,Los Angeles Lakers,87
2010-04-18 00:00:00,Charlotte Bobcats,89,Orlando Magic,98
2010-04-18 00:00:00,San Antonio Spurs,94,Dallas Mavericks,100
2010-04-18 00:00:00,Portland Trail Blazers,105,Phoenix Suns,100
2010-04-19 00:00:00,Chicago Bulls,102,Cleveland Cavaliers,112
2010-04-19 00:00:00,Utah Jazz,114,Denver Nuggets,111
2010-04-20 00:00:00,Milwaukee Bucks,86,Atlanta Hawks,96
2010-04-20 00:00:00,Miami Heat,77,Boston Celtics,106
2010-04-20 00:00:00,Portland Trail Blazers,90,Phoenix Suns,119
2010-04-20 00:00:00,Oklahoma City Thunder,92,Los Angeles Lakers,95
2010-04-21 00:00:00,Charlotte Bobcats,77,Orlando Magic,92
2010-04-21 00:00:00,San Antonio Spurs,102,Dallas Mavericks,88
2010-04-22 00:00:00,Cleveland Cavaliers,106,Chicago Bulls,108
2010-04-22 00:00:00,Los Angeles Lakers,96,Oklahoma City Thunder,101
2010-04-22 00:00:00,Phoenix Suns,108,Portland Trail Blazers,89
2010-04-23 00:00:00,Boston Celtics,100,Miami Heat,98
2010-04-23 00:00:00,Dallas Mavericks,90,San Antonio Spurs,94
2010-04-23 00:00:00,Denver Nuggets,93,Utah Jazz,105
2010-04-24 00:00:00,Orlando Magic,90,Charlotte Bobcats,86
2010-04-24 00:00:00,Phoenix Suns,87,Portland Trail Blazers,96
2010-04-24 00:00:00,Atlanta Hawks,89,Milwaukee Bucks,107
2010-04-24 00:00:00,Los Angeles Lakers,89,Oklahoma City Thunder,110
2010-04-25 00:00:00,Boston Celtics,92,Miami Heat,101
2010-04-25 00:00:00,Cleveland Cavaliers,121,Chicago Bulls,98
2010-04-25 00:00:00,Dallas Mavericks,89,San Antonio Spurs,92
2010-04-25 00:00:00,Denver Nuggets,106,Utah Jazz,117
2010-04-26 00:00:00,Orlando Magic,99,Charlotte Bobcats,90
2010-04-26 00:00:00,Atlanta Hawks,104,Milwaukee Bucks,111
2010-04-26 00:00:00,Portland Trail Blazers,88,Phoenix Suns,107
2010-04-27 00:00:00,Miami Heat,86,Boston Celtics,96
